==============================================================================================================
AURA COMPLETE FILE INVENTORY
Generated: 2026-09-01T00:03:15.124743
Backup Type: LOSSLESS (no modifications, no exclusions, no scrubbing)
==============================================================================================================

# SECTION 1: MAIN PROJECT (aura_assistant)
# Source: /outputs/aura_assistant
# Total files: 487 | Directories: 309 | Empty dirs: 37

PATH                                                                                          SIZE TYPE       SHA-256                                                         
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
.dart_tool/flutter_build/dart_plugin_registrant.dart                                        10,384 dart       63c02bca0df2ab1c056ceb61311037b8e03a74161d91725288b807fe95895825
.dart_tool/package_config.json                                                              23,026 json       928ec8e87f3c85f5ca18c5fe99589446826961666d78e9482ffda1374c20c791
.dart_tool/package_config_subset                                                            23,546 none       f5bebb0359042fb1020bbd6691bcee33f6a8e6f0c5612ad2a21ba0dae004c1bd
.dart_tool/pub/bin/test/test.dart-3.6.0.snapshot                                        25,436,160 snapshot   2da0d1e0968429e7efef60ce95d37b6a47ddb6aee5eed9afcf26f5179a50462d
.dart_tool/test/incremental_kernel.Ly9AZGFydD0zLjY=                                     81,795,576 Ly9AZGFydD0zLjY= 5332f548af89678bcedc4b850f02e693b2b48abcb622d57eb518d0ef0fe2487c
.dart_tool/version                                                                               6 none       997af92210108376cceb33489f18edc2fd01257000d01ac71dab06e117f0a7fa
.flutter-plugins                                                                             4,394 none       45213bf686f089a5932f8c1be232688bf083e9c9d0f83c3a8bb0fc091a9cfc5f
.flutter-plugins-dependencies                                                               14,241 none       282fb09f716072c83689b14f3f742d7b8618d00ad8a17aa31955d3a94cf49873
AUDIT_REPORT.md                                                                             15,889 md         ca3150a06677b1c3c8f10e336fbf98450a57b3592a52092490969637d0f551be
PHASE2_UI_UX_VERIFICATION_REPORT.md                                                         22,079 md         6eb8073afc12df0e42a1223dd784f6de83125098b25bbb2e8989c9151fb367a9
PHASE6_STEP2_DEVICE_INFO_TOOL_REPORT.md                                                      4,274 md         b3eef6fa5e4b341c6bc2fc914dd8d92e2f44326e76f7e8caedaceedb31724f6a
PHASE6_STEP3_BATTERY_INTEGRATION_REPORT.md                                                   9,730 md         1d5d49f9af82c5843e57e349c4ab947c1f2d2c1f2488bd5e0006858f1285fc14
PHASE6_STEP4_NETWORK_INTEGRATION_REPORT.md                                                   7,181 md         d5d992e57944170407eeca8b7dcbf22ab97bc459d549cd749c150c77ee2b6772
PHASE6_VERIFICATION_REPORT.md                                                                4,201 md         be4bbb6347bf55460662e20850192fde3423362a3d892f230d60f4e3de3ab3a3
STEP10_VERIFICATION_REPORT.md                                                                4,617 md         f32a7e8f3a727489c90f0c36ba9f1cd61c70e7c1eb56e9749f32501fcf2aacd5
analysis_options.yaml                                                                          318 yaml       d7648a0e098dc00d7d53bd4c083b7c0122439d0b4aee13edc220dc687a093330
android/.gradle/8.4/checksums/checksums.lock                                                    17 lock       0d47a2582888f0d21dd2b004d31a9ca2282dc2d76c262a716098e176e5397c03
android/.gradle/8.4/checksums/md5-checksums.bin                                             42,947 bin        af074a32551f5660fd2d263e691a0f93dd1ae76e0c0806f36c411ed608753eec
android/.gradle/8.4/checksums/sha1-checksums.bin                                           133,505 bin        00848a39c3b0ee57ac14d9b40f39002071f129192041272b6bc36005bfcf147b
android/.gradle/8.4/dependencies-accessors/dependencies-accessors.lock                          17 lock       886de0ec7d650f35e3d3c54ddc48e3390165def91818a7042a334a1d721bbd98
android/.gradle/8.4/dependencies-accessors/gc.properties                                         0 properties e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
android/.gradle/8.4/executionHistory/executionHistory.lock                                      17 lock       53d89e20fc0b35ba7adaf963d6be19736235dcbbb400da9a8c6a909ab9b478de
android/.gradle/8.4/fileChanges/last-build.bin                                                   1 bin        6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d
android/.gradle/8.4/fileHashes/fileHashes.lock                                                  17 lock       96cde7cc49fa315e439ffcaecbc99993b9b1e13dff94de04a77c7188d0b98824
android/.gradle/8.4/gc.properties                                                                0 properties e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
android/.gradle/buildOutputCleanup/buildOutputCleanup.lock                                      17 lock       fab48ba250085d7a3422cdd9e167ea4c6d985c444d8b6f3b109cb69d03f706b3
android/.gradle/buildOutputCleanup/cache.properties                                             49 properties 5b0b7656d543267f3dc27a3b44297fb2b9732b16ef78cc62161893db653e59c9
android/.gradle/buildOutputCleanup/outputFiles.bin                                          18,839 bin        a938953ef7a451ceca517d5f7b86a4090f872734f342b3405633019739a46b0f
android/.gradle/vcs-1/gc.properties                                                              0 properties e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
android/.kotlin/errors/errors-1787351554875.log                                              8,281 log        f9eb510c7d4d3f9ebbaa23f271871570b741680e8c77e1292f1a5a48e42a54c1
android/app/build.gradle                                                                     1,504 gradle     24027138e8c3f08d6e1eac0c899e7591a1291144dc2a3d13fcd98d09c2381c40
android/app/build/intermediates/annotation_processor_list/debug/annotationProcessors.json            2 json       44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
